"rs_frs";"type_transaction";"num_dossier";"code_douane";"code_frs";"num_repertoire";"date_depot";"nbre_total_art";"type_transaction";"val_nette";"emballage";"mise_a_fob";"fret";"autre_frais";"nom_signat_declarant";"date_signat_declarant";"code_pays_provenance";"lib_pays_provenance";"code_pays_achat";"lib_pays_achat";"code_pays_premier_destination";"lib_pays__premier_destination";"code_pays_destination_defi";"lib_pays__destination_defi";"code_devise_ptfn";"code_incoterme";"desig_incoterme";"ptfn";"fob_mont_devise";"code_nat_autoris";"lib_nat_autoris"
"TRICON DRY CHEMICALS";1;643;"1222506N";"44";1995;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-08-08 00:00:00";"TR";"TURQUIE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;74500;"39";"Admission Temporaire : (AT)"
"MONTICELLI";1;644;"1283193D";"63";1999;"2024-08-08 00:00:00";1;1;916.5;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-08 00:00:00";"IT";"ITALIE";"IT";"ITALIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";916.5;960;"39";"Admission Temporaire : (AT)"
"MONTICELLI";1;642;"1283193D";"63";100;"2024-08-08 00:00:00";1;1;916.5;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-08 00:00:00";"IT";"ITALIE";"IT";"ITALIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";916.5;960;"";""
"MOTICELLI";1;640;"1283193D";"62";100;"2024-08-08 00:00:00";1;1;916.5;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-08 00:00:00";"IT";"ITALIE";"IT";"ITALIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";916.5;950;"";""
"TRICON DRY CHEMICALS";1;636;"1222506N";"44";100;"2024-08-07 00:00:00";1;1;81855;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-07 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;80000;"";""
"TRICON DRY CHEMICALS";1;637;"1222506N";"44";100;"2024-08-07 00:00:00";1;1;81855;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-07 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;80000;"";""
"TRICON DRY CHEMICALS";1;635;"1222506N";"44";100;"2024-08-06 00:00:00";1;1;81855;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-06 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;80000;"";""
"TRICON DRY CHEMICALS";1;634;"1222506N";"44";100;"2024-08-06 00:00:00";1;1;81855;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-06 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;80000;"";""
"ZED SRL";1;630;"00004K";"1";1;"2024-08-01 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-08-01 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;629;"00004K";"1";1;"2024-08-01 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-08-01 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;628;"00004K";"1";1;"2024-08-01 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-08-01 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ALJAWDA AFRICAN JOINT CO ";2;633;"1283193D";"13";50982;"2024-02-28 00:00:00";1;2;14500;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-01 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";22060;15500;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;632;"1283193D";"13";100;"2024-08-01 00:00:00";1;2;22060;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-01 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";22060;23500;"";""
"ZED SRL";1;627;"00004K";"1";1;"2024-08-01 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-08-01 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;631;"00004K";"1";1;"2024-08-01 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-08-01 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;621;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;626;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;625;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;624;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;623;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;622;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;611;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;610;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;609;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;608;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;607;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;606;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;605;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;604;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;603;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;620;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;619;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;618;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;617;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;616;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;615;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;614;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;613;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;612;"00004K";"1";1;"2024-07-31 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-31 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"HEXAGON INTERNATIONAL";2;602;"1283193D";"9";100;"2024-07-30 00:00:00";1;2;132667.14;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-30 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CG";"CONGO";"CG";"CONGO";"EUR";"CFR";"C F";132667.14;131000;"";""
"ENSATEC S.L.U";2;601;"1283193D";"60";50981;"2024-07-23 00:00:00";1;2;200;0;0;0;0;"STE ((MAS))";"2024-07-30 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"ES";"ESPAGNE";"ES";"ESPAGNE";"EUR";"DDP";"DDP.RENDU DR.ACQUITTES";200;190;"22";"Facture Definitive a l'Export : (FDE)"
"TRICON DRY CHEMICALS";1;600;"1222506N";"44";1999;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-07-30 00:00:00";"TR";"TURQUIE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;74500;"39";"Admission Temporaire : (AT)"
"REYNAERS";1;598;"1283193D";"54";1998;"2024-07-29 00:00:00";10;1;12109.2;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-29 00:00:00";"BE";"BELGIQUE";"BE";"BELGIQUE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FCA";"FCA.FRANCO-TRANSPORT";12109.2;12109.2;"39";"Admission Temporaire : (AT)"
"RIVA TOZ BOYA";1;599;"1526420V";"61";100;"2024-07-29 00:00:00";1;1;4516.94;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-29 00:00:00";"TR";"TURQUIE";"TR";"TURQUIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";4516.94;4300;"";""
"ALUMINCO ";1;596;"1283193D";"29";1993;"2024-03-04 00:00:00";7;1;15746.61;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-29 00:00:00";"FR";"FRANCE";"GR";"GRECE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";25683.27;16000;"39";"Admission Temporaire : (AT)"
"ALUMINCO ";1;597;"1283193D";"29";1997;"2024-03-04 00:00:00";8;1;15746.61;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-29 00:00:00";"FR";"FRANCE";"GR";"GRECE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";27856.47;16000;"39";"Admission Temporaire : (AT)"
"ENSATEC S.L.U";2;595;"1283193D";"60";50980;"2024-07-23 00:00:00";1;2;200;0;0;0;0;"STE ((MAS))";"2024-07-23 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"ES";"ESPAGNE";"ES";"ESPAGNE";"EUR";"DDP";"DDP.RENDU DR.ACQUITTES";200;190;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;593;"1283193D";"13";50978;"2024-03-11 00:00:00";2;2;12950;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-20 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";5000;13500;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;594;"1283193D";"13";50979;"2024-02-28 00:00:00";1;2;14500;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-20 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";25070;15500;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;592;"1283193D";"13";100;"2024-07-19 00:00:00";1;2;30070;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-19 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";30070;31500;"";""
"PERVEDANT";1;591;"1283193D";"56";1996;"2024-05-24 00:00:00";1;1;12434.26;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-19 00:00:00";"FR";"FRANCE";"PT";"PORTUGAL";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";4911.9;13000;"39";"Admission Temporaire : (AT)"
"HEXAGON INTERNATIONAL";2;590;"1283193D";"9";50971;"2024-04-04 00:00:00";2;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-18 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";177138.38;150000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;588;"1283193D";"9";50971;"2024-04-04 00:00:00";2;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-18 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";177138.38;150000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;589;"1283193D";"9";50977;"2024-04-04 00:00:00";2;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-18 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";177138.38;150000;"22";"Facture Definitive a l'Export : (FDE)"
"ZED SRL";1;574;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
